[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 32.18202, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 25.690400000000004, 66.81578, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 32.18202, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 31.434020000000004, 37.63664, 66.81578, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 32.18202, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 25.690400000000004, 66.81578, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 37.63664, 32.18202, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 37.63664, 32.18202, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 37.63664, 32.18202, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 37.63664, 32.18202, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 37.63664, 32.18202, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 37.63664, 32.18202, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 37.63664, 32.18202, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 37.63664, 32.18202, 43.067460000000004, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 37.63664, 66.81578, 26.724, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 37.63664, 66.81578, 26.724, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 37.63664, 66.81578, 26.724, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 37.63664, 66.81578, 26.724, 59.663880000000006, 71.50404]
[None, 73.049, 66.83822, 37.63664, 66.81578, 43.067460000000004, 22.873160000000002, 70.30826]
[None, 73.049, 66.83822, 37.63664, 66.81578, 43.067460000000004, 22.873160000000002, 71.50404]
[None, 73.049, 66.83822, 37.63664, 66.81578, 43.067460000000004, 59.663880000000006, 70.30826]
[None, 73.049, 66.83822, 37.63664, 66.81578, 43.067460000000004, 59.663880000000006, 71.50404]
